2021-05-14 10:19:57.338 +01:00 [VRB] stdin: {"type": "REQUEST", "request": {"type":"greeting","id":"18b437ff-8a55-4be5-b67e-ab14677168eb","args":"\"Kenny\""}}	
2021-05-14 10:19:57.441 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"85425d8c-347f-478a-83dc-d7ca8848e7f6","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:19:57.443 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"85425d8c-347f-478a-83dc-d7ca8848e7f6","result":"null"}}	
2021-05-14 10:19:57.476 +01:00 [VRB] Sending Response: {"type":"RESPONSE","response":{"result":"{\"text\":\"Hello Kenny!\",\"date\":\"14/05/2021 09:19:57\",\"count\":1}","id":"18b437ff-8a55-4be5-b67e-ab14677168eb"}
2021-05-14 10:20:00.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"038f30a0-f670-453c-a185-8c3b1a5dd969","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:00.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"038f30a0-f670-453c-a185-8c3b1a5dd969","result":"null"}}	
2021-05-14 10:20:03.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"f19053b6-a921-4532-a0f4-d09ecda96267","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:03.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"f19053b6-a921-4532-a0f4-d09ecda96267","result":"null"}}	
2021-05-14 10:20:06.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"a535ec5e-4de7-4720-ab39-ae30cdd4b34f","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:06.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"a535ec5e-4de7-4720-ab39-ae30cdd4b34f","result":"null"}}	
2021-05-14 10:20:09.304 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"74fed385-288c-4822-9052-42a3309b0935","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:09.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"74fed385-288c-4822-9052-42a3309b0935","result":"null"}}	
2021-05-14 10:20:12.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"3320d4e1-2d0a-4ec3-900c-8d0f87dc09a8","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:12.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"3320d4e1-2d0a-4ec3-900c-8d0f87dc09a8","result":"null"}}	
2021-05-14 10:20:15.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"79430fb1-4bf8-45f0-a90e-d75ff9b16d7c","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:15.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"79430fb1-4bf8-45f0-a90e-d75ff9b16d7c","result":"null"}}	
2021-05-14 10:20:18.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"3cdf5c83-9fc6-4af4-97ad-6f3f0e9c5890","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:18.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"3cdf5c83-9fc6-4af4-97ad-6f3f0e9c5890","result":"null"}}	
2021-05-14 10:20:21.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"c6a21328-ef16-4b98-9967-ee169fdbc0c0","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:21.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"c6a21328-ef16-4b98-9967-ee169fdbc0c0","result":"null"}}	
2021-05-14 10:20:24.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"cde4399d-0da3-41b5-95a8-bb9e26c6f8c7","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:24.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"cde4399d-0da3-41b5-95a8-bb9e26c6f8c7","result":"null"}}	
2021-05-14 10:20:27.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"a593af09-c7fa-436b-ab28-fbacceabaa45","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:27.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"a593af09-c7fa-436b-ab28-fbacceabaa45","result":"null"}}	
2021-05-14 10:20:30.308 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"8e0df67a-e4ba-4341-9e68-e2ae3fe7ca2f","args":"Emis CSharp says 132654575973122150"}}
